=== video_01_bouncing_ball ===
[frame 0000] t=0.00s | objects: ball_1(ball) | events: -
[frame 0123] t=10.25s | objects: car_A(car), car_B(car) | events: -
[frame 0126] t=10.50s | objects: car_A(car) | events: car_B: exited_frame
[frame 0129] t=10.75s | objects: car_A(car) | events: -
[frame 0132] t=11.00s | objects: car_A(car) | events: -
[frame 0135] t=11.25s | objects: car_A(car) | events: car_A: lane_change
[frame 0138] t=11.50s | objects: car_A(car) | events: car_A: lane_change
[frame 0141] t=11.75s | objects: car_A(car) | events: car_A: lane_change
[frame 0144] t=12.00s | objects: car_A(car) | events: car_A: lane_change
[frame 0147] t=12.25s | objects: car_A(car) | events: car_A: lane_change
[frame 0150] t=12.50s | objects: car_A(car) | events: car_A: lane_change
[frame 0153] t=12.75s | objects: car_A(car) | events: -
[frame 0156] t=13.00s | objects: car_A(car) | events: -
[frame 0159] t=13.25s | objects: car_A(car) | events: -
[frame 0162] t=13.50s | objects: car_A(car) | events: -
[frame 0165] t=13.75s | objects: car_A(car) | events: -
[frame 0168] t=14.00s | objects: car_A(car) | events: -
[frame 0171] t=14.25s | objects: car_A(car) | events: -
[frame 0174] t=14.50s | objects: car_A(car) | events: -
[frame 0177] t=14.75s | objects: car_A(car) | events: -

=== video_03_pedestrian_crossing ===
[frame 0000] t=0.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0003] t=0.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0006] t=0.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0009] t=0.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0012] t=1.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0015] t=1.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0018] t=1.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0021] t=1.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0024] t=2.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0027] t=2.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0030] t=2.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0033] t=2.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0036] t=3.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0039] t=3.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0042] t=3.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0045] t=3.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0048] t=4.00s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0051] t=4.25s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0054] t=4.50s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0057] t=4.75s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0060] t=5.00s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0063] t=5.25s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0066] t=5.50s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0069] t=5.75s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0072] t=6.00s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0075] t=6.25s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0078] t=6.50s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0081] t=6.75s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0084] t=7.00s | objects: sign_1(sign), person_1(person) [occluded], car_C(car) | events: -
[frame 0087] t=7.25s | objects: sign_1(sign), person_1(person) [occluded], car_C(car) | events: -
[frame 0090] t=7.50s | objects: sign_1(sign), person_1(person) [occluded], car_C(car) | events: -
[frame 0093] t=7.75s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0096] t=8.00s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0099] t=8.25s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0102] t=8.50s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0105] t=8.75s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0108] t=9.00s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0111] t=9.25s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0114] t=9.50s | objects: sign_1(sign), person_1(person), car_C(car) | events: -
[frame 0117] t=9.75s | objects: sign_1(sign), person_1(person) | events: car_C: exited_frame
[frame 0120] t=10.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0123] t=10.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0126] t=10.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0129] t=10.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0132] t=11.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0135] t=11.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0138] t=11.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0141] t=11.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0144] t=12.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0147] t=12.25s | objects: sign_1(sign), person_1(person) | events: -
[frame 0150] t=12.50s | objects: sign_1(sign), person_1(person) | events: -
[frame 0153] t=12.75s | objects: sign_1(sign), person_1(person) | events: -
[frame 0156] t=13.00s | objects: sign_1(sign), person_1(person) | events: -
[frame 0159] t=13.25s | objects: sign_1(sign) | events: person_1: exited_frame
[frame 0162] t=13.50s | objects: sign_1(sign) | events: -
[frame 0165] t=13.75s | objects: sign_1(sign) | events: -
[frame 0168] t=14.00s | objects: sign_1(sign) | events: -
[frame 0171] t=14.25s | objects: sign_1(sign) | events: -
[frame 0174] t=14.50s | objects: sign_1(sign) | events: -
[frame 0177] t=14.75s | objects: sign_1(sign) | events: -
